State,Region,N,P,K,pH
Punjab,Majha,95,42,88,7.8
Punjab,Doaba,90,38,85,7.5
Punjab,Malwa,85,35,80,8.1
Uttar Pradesh,Western UP,75,30,70,7.6
Uttar Pradesh,Eastern UP,68,28,65,7.2
Uttar Pradesh,Bundelkhand,55,22,60,8
Maharashtra,Vidarbha,60,25,75,7.4
Maharashtra,Marathwada,50,20,70,7.8
Maharashtra,Western Maharashtra,65,27,85,7.1
Karnataka,North Karnataka,52,18,72,7.6
Karnataka,South Karnataka,58,22,78,6.8
Tamil Nadu,Cauvery Delta,62,24,82,6.9
Tamil Nadu,Western TN,48,19,68,7.3
Tamil Nadu,Southern TN,45,17,60,7
Madhya Pradesh,Malwa,70,26,80,7.5
Madhya Pradesh,Baghelkhand,58,21,72,7.8
Madhya Pradesh,Mahakoshal,63,23,76,7.4
Rajasthan,Marwar,40,15,55,8.5
Rajasthan,Mewar,50,18,65,8.2
Rajasthan,Shekhawati,35,12,50,8.8
Gujarat,Saurashtra,55,20,70,7.9
Gujarat,Kutch,38,14,58,8.6
Gujarat,Central Gujarat,60,23,75,7.6
